Name;Coordinates
ÄNGELHOLM;POINT (12.8416633 56.290998836)
ÅRE ÖSTERSUND;POINT (14.501164662 63.189832574)
ARVIDSJAUR;POINT (19.27456284 65.59220886)
BORLÄNGE;POINT (15.51051712 60.42327499)
GÄLLIVARE;POINT (20.81499672 67.13253784)
GÖTEBORG/LANDVETTER;POINT (12.28727818 57.66451263)
HAGFORS;POINT (13.57822037 60.02272034)
HALMSTAD;POINT (12.85748291 56.67398071)
HEMAVAN TÄRNABY;POINT (15.08346176 65.80632019)
JÖNKÖPING;POINT (14.16571903 57.78256226)
KALMAR;POINT (16.28347778 56.68473816)
KARLSTAD;POINT (13.50276279 59.38091278)
KIRUNA;POINT (20.33342934 67.8212738)
KRAMFORS-SOLLEFTEÅ;POINT (17.76606178 63.04914474)
KRISTIANSTAD;POINT (14.08672428 55.91998291)
LINKÖPING;POINT (15.62452507 58.40981293)
LULEÅ;POINT (22.11975479 65.54638672)
LYCKSELE;POINT (18.71338844 64.54975128)
MALMÖ;POINT (13.3716898 55.53546143)
ÖREBRO;POINT (15.05159173 59.24286598)
ÖRNSKÖLDSVIK;POINT (18.71602058 63.28886032)
PAJALA;POINT (23.36472893 67.20903778)
RONNEBY;POINT (15.27101803 56.26460266)
SKELLEFTEÅ;POINT (21.08051109 64.6242218)
STOCKHOLM/ARLANDA;POINT (17.93861961 59.64980316)
STOCKHOLM/BROMMA;POINT (17.94678307 59.35702896)
STOCKHOLM/SKAVSTA;POINT (16.92242432 58.78472519)
STOCKHOLM/VÄSTERÅS;POINT (16.54636765 59.61109924)
SUNDSVALL TIMRÅ;POINT (17.3071022 62.3907547)
SVEG;POINT (14.420331652 62.041999832)
TORSBY;POINT (13.00678825 60.13552094)
TROLLHÄTTAN/VÄNERSBORG;POINT (12.34457207 58.31798935)
UMEÅ;POINT (20.28625488 63.79077911)
VÄXJÖ/KRONOBERG;POINT (14.7322894 56.92434045)
VILHELMINA;POINT (16.65439224 64.6257019)
VISBY;POINT (18.34523964 57.66231918)
