;ÄNGELHOLM;ÅRE ÖSTERSUND;ARVIDSJAUR;BORLÄNGE;ESKILSTUNA;GÄLLIVARE;GÄVLE/SANDVIKEN;GÖTEBORG/LANDVETTER;GÖTEBORG/SÄVE;HAGFORS;HALMSTAD;HEDE/HEDLANDA;HEMAVAN TÄRNABY;INRIKES FLYGPLATS;JÖNKÖPING;KALMAR;KARLSTAD;KIRUNA;KRAMFORS-SOLLEFTEÅ;KRISTIANSTAD;LINKÖPING;LINKÖPING/MALMEN;LULEÅ;LYCKSELE;MALMÖ;MORA/SILJAN;NORRKÖPING/KUNGSÄNGEN;ÖREBRO;ÖRNSKÖLDSVIK;OSKARSHAMN;PAJALA;RONNEBY;SÅTENÄS;SILJANSNÄS;SKELLEFTEÅ;SKÖVDE;STOCKHOLM/ARLANDA;STOCKHOLM/BROMMA;STOCKHOLM/SKAVSTA;STOCKHOLM/VÄSTERÅS;SUNDSVALL TIMRÅ;SVEG;TORSBY;TROLLHÄTTAN/VÄNERSBORG;UMEÅ;UPPSALA;VÄXJÖ/KRONOBERG;VIDSEL;VILHELMINA;VISBY;Grand Total
ÄNGELHOLM;;217;;185;;;;;250;;236;;;;;;;;;259;;;;;;2383;;;157;;;;;;;;109370;123640;;;318;;;;;;;;;4997;242012
ÅRE ÖSTERSUND;212;247;;;;;;341;;;;144;;;141;;131;;;;;;123;;787;;;;;;;;;;;;210069;16181;;;;;;;7682;;;;;;236058
ARVIDSJAUR;;;;;;369;;;;;;;123;;;;;;427;;;;;15747;;177;;;;;;;;;;;4134;271;;164;;;;;;;;;401;;21813
BORLÄNGE;157;125;;2994;;;125;6716;762;;146;;;;264;;;;;;125;;834;;250;125;;4429;145;;;;;;356;125;1009;126;;;;;;125;;;445;;;;19383
GÄLLIVARE;;;998;;;;;128;;;;;504;;;;;1371;20234;;;;1937;627;;;;;;;;;;;;;5490;;;;;;;;329;;;;155;;31773
GÖTEBORG/LANDVETTER;;404;;6631;;;;760;;;;;;;;300;335;;;;;;980;;21652;;;137;477;;;;;;788;;484589;299062;277;;10374;;;;;;;;;426;827192
GÖTEBORG/SÄVE;;125;;442;;138;;;;;;;;;;;;;;;182;;;;248;;;174;;;;;;;;;125;1310;;;;;;127;295;;;;;16641;19807
HAGFORS;;;;128;;;;;;126;;;;;;;;;;;;;;;;615;;;;;;;;;;;2670;;;;;492;1457;;;;;;;;5488
HALMSTAD;123;;;146;;;;;;;;;;;123;;139;;;;;;;;;127;;;;;;;;;;;24746;42074;;;;;;;;;272;;;;67750
HEMAVAN TÄRNABY;;;138;;;;;;;;;;129;;;;;;264;;;;126;143;;;;;;;;;;;;;460;;;;;;;;;;;;8343;;9603
JÖNKÖPING;;;;308;;;159;123;;;663;;;;;;749;;;256;;;837;;;123;123;;506;;;;;;528;;15825;9660;;123;687;;;;;;133;;;;30803
KALMAR;;;;;;;126;282;;;123;;;;249;;293;;;;;;;;;;;;;;;123;;;;;62195;38125;;;;;;;;;270;;;;101786
KARLSTAD;;;;;325;;;123;;;;;;;3984;639;;;;;2844;;1033;;578;;;123;1161;;;;;;941;;17530;251;;;;;;;;;128;;;126;29786
KIRUNA;127;;;252;;3370;;;;;;;;;;;;138;;;;;1060;;;;;;;;;;;;;;121435;125;;;;;;;4571;;;;;;131078
KRAMFORS-SOLLEFTEÅ;;;125;;;3847;;;;;;;128;;;;;;;;;;;131;;;;;123;;;;;;;;9230;;;;123;;;;;;;;526;;14233
KRISTIANSTAD;;;;;;;;126;250;;;;;;;125;;;;1440;;;125;;;;;127;;;;;;;;;20301;886;;;;;;;;;;;;;23380
LINKÖPING;;;;;;;;;;;;;;;262;;738;;;;;;;;;;123;774;;;;;;;;;;;;;;;;;;;;;;;1897
LULEÅ;;1190;;393;;3936;;813;138;;;;;;644;;597;1084;;;179;;242;;243;;;317;;;3180;164;;;364;;598601;;;;6687;;;153;4764;;566;;;;624255
LYCKSELE;;;1695;;;246;;;;;;;123;;;;;;411;;;;;;;;;;;;;;;;;;13013;;;;;;;;;;;;274;;15762
MALMÖ;;649;;;;;;4473;253;;;;;;;;194;;;123;;;255;;500;;;7463;;;;;;;;132;370645;335323;;;;;;129;156;;;;;7094;727389
MORA/SILJAN;2196;;;;;;;;125;950;163;;;;157;;;;;;;;;;;;;;157;;;;;;;;4841;;;;;1870;664;;;;;;177;146;11446
NORRKÖPING/KUNGSÄNGEN;128;;;;;;;;;;125;;;;;;;;;;;;;;;;;;;;;135;;;;;492;;;;;;;;;;;;;173;1053
ÖREBRO;;;;1402;;;;138;123;;;;;;;337;502;;;;2919;;317;;4660;;;;;145;;;;;408;;502;;;;;;;;;123;;;;;11576
ÖRNSKÖLDSVIK;158;;;145;;;;479;248;;;;;;497;;1252;;;;345;;251;;;157;;;;;;;;;123;;46725;638;;;123;;;;250;125;889;;;;52405
OSKARSHAMN;;;;;;;;;;;;;;;;;;;;;;;;;131;;;145;;;;;;;;;6106;;;;;;;;;;;;;;6382
PAJALA;;;;;;;;;;;;;;;;;;;;;;;3245;;;;;;;;;;;;;;;;;;;;;;;;;;;;3245
RONNEBY;;;;;;;;;;;;;;;;;;;;;;;164;;;;;;;;;;;;199;;84103;44766;;;;;;;;;;;;285;129517
SKELLEFTEÅ;;;;615;;;288;615;123;;;;;;524;;1110;;;;1063;;;;139;127;;249;;;;928;;;;;157386;;;;417;;;;382;;574;;;;164540
STOCKHOLM/ARLANDA;108306;209661;3915;951;;6098;;494150;125;4237;21107;;665;433;17274;61044;16844;120522;25877;19431;284;;592913;27522;371284;7238;651;548;45879;5952;;84089;125;161;154694;;1621;252;;;99051;1703;1330;;373476;;13085;;16473;61779;2970750
STOCKHOLM/BROMMA;123936;16538;129;125;;135;;271703;1094;;42523;;;;6927;37649;505;468;167;1020;1029;135;;;336084;;126;;132;;;44408;135;;;;;126;;;32959;;;25577;149831;;34564;;;117282;1245307
STOCKHOLM/SKAVSTA;;;125;;;;;159;;;;;;;;;;;;;;;;;123;;125;;;;;;;;;;246;123;;;;;;;;;;;;127;1028
STOCKHOLM/VÄSTERÅS;;126;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;249
SUNDSVALL TIMRÅ;316;250;;286;;267;;11374;134;;;;;;521;;;;;;269;;6287;;125;;;;;;;;;;1327;;100792;33901;;;248;;;;320;;339;135;;1787;158678
SVEG;;;;;;;;;123;651;;;;;;;129;;;;;;;;;4810;;;;;126;;;;;;1481;;;;;;947;;;;;;;;8267
TORSBY;;;;;;;;;;3509;;;;;;;;;;;;;;;;882;;;;;;;;;;;1331;;;;;764;;;;;;;;;6486
TROLLHÄTTAN/VÄNERSBORG;;;;;;;157;;;;;;;138;225;;;;;;;;153;;129;;;;;;;;;;;;181;26603;;;;;;;;;;;;;27586
UMEÅ;;6002;;125;;;;;;;;;;;;;;2088;;;;;3254;;162;;;;;;;;;;248;;374643;172416;;;1053;;;;;;;;;1523;561514
VÄXJÖ/KRONOBERG;;;;311;;;180;;;;;;;;;;;;;;;;565;;;;;;729;;;;;;525;;13312;34820;;;319;;;;;;;;;;50761
VILHELMINA;;;369;;;615;;;;;;;1646;;;;;;280;;;;;552;;;;;;;;;;;;;9338;;;;;;;;;;;;;479;13279
VISBY;4950;;;;;;;195;17227;;126;;;;;;;;;;;;;;7460;146;179;;;;;;;;;;60723;115282;;;1702;;;;1555;;;;329;;209874
Grand Total;240609;235534;7494;15562;325;19021;1035;792698;20975;9473;65212;144;3318;571;31792;100094;23518;125671;47660;22529;9239;135;614701;44722;744555;16910;1327;14486;49466;6097;3306;129847;260;161;160501;257;2935260;1295961;277;287;154061;4829;4398;26111;543611;248;51265;135;26678;212865;8815191
