;ÄNGELHOLM;ÅRE ÖSTERSUND;ARVIDSJAUR;BORLÄNGE;ESKILSTUNA;GÄLLIVARE;GÄVLE/SANDVIKEN;GÖTEBORG/LANDVETTER;GÖTEBORG/SÄVE;HAGFORS;HALMSTAD;HEDE/HEDLANDA;HEMAVAN TÄRNABY;JÖNKÖPING;KALMAR;KARLSTAD;KIRUNA;KRAMFORS-SOLLEFTEÅ;KRISTIANSTAD;LINKÖPING;LINKÖPING/MALMEN;LULEÅ;LYCKSELE;MALMÖ;MORA/SILJAN;NORRKÖPING/KUNGSÄNGEN;ÖREBRO;ÖRNSKÖLDSVIK;OSKARSHAMN;PAJALA;RONNEBY;SÅTENÄS;SILJANSNÄS;SKELLEFTEÅ;SKÖVDE;STOCKHOLM/ARLANDA;STOCKHOLM/BROMMA;STOCKHOLM/SKAVSTA;STOCKHOLM/VÄSTERÅS;SUNDSVALL TIMRÅ;SVEG;TORSBY;TROLLHÄTTAN/VÄNERSBORG;UMEÅ;UPPSALA;VÄXJÖ/KRONOBERG;VIDSEL;VILHELMINA;VISBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÄNGELHOLM;0;0,602777778;0;0,513888889;0;0;0;0;0,694444444;0;0,655555556;0;0;0;0;0;0;0;0,719444444;0;0;0;0;0;6,619444444;0;0;0,436111111;0;0;0;0;0;0;0;303,8055556;343,4444444;0;0;0,883333333;0;0;0;0;0;0;0;0;13,88055556,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÅRE ÖSTERSUND;0,588888889;0,686111111;0;0;0;0;0;0,947222222;0;0;0;0,4;0;0,391666667;0;0,363888889;0;0;0;0;0;0,341666667;0;2,186111111;0;0;0;0;0;0;0;0;0;0;0;583,525;44,94722222;0;0;0;0;0;0;21,33888889;0;0;0;0;0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARVIDSJAUR;0;0;0;0;0;1,025;0;0;0;0;0;0;0,341666667;0;0;0;0;1,186111111;0;0;0;0;43,74166667;0;0,491666667;0;0;0;0;0;0;0;0;0;0;11,48333333;0,752777778;0;0,455555556;0;0;0;0;0;0;0;0;1,113888889;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORLÄNGE;0,436111111;0,347222222;0;8,316666667;0;0;0,347222222;18,65555556;2,116666667;0;0,405555556;0;0;0,733333333;0;0;0;0;0;0,347222222;0;2,316666667;0;0,694444444;0,347222222;0;12,30277778;0,402777778;0;0;0;0;0;0,988888889;0,347222222;2,802777778;0,35;0;0;0;0;0;0,347222222;0;0;1,236111111;0;0;0,,,,,,,,,,,,,,,,,,
GÄLLIVARE;0;0;2,772222222;0;0;0;0;0,355555556;0;0;0;0;1,4;0;0;0;3,808333333;56,20555556;0;0;0;5,380555556;1,741666667;0;0;0;0;0;0;0;0;0;0;0;0;15,25;0;0;0;0;0;0;0;0,913888889;0;0;0;0,430555556;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GÖTEBORG/LANDVETTER;0;1,122222222;0;18,41944444;0;0;0;2,111111111;0;0;0;0;0;0;0,833333333;0,930555556;0;0;0;0;0;2,722222222;0;60,14444444;0;0;0,380555556;1,325;0;0;0;0;0;2,188888889;0;1346,080556;830,7277778;0,769444444;0;28,81666667;0;0;0;0;0;0;0;0;1,183333333,,,,,,,,,,,,,,,,,,,,,,,
GÖTEBORG/SÄVE;0;0,347222222;0;1,227777778;0;0,383333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0,505555556;0;0;0;0,688888889;0;0;0,483333333;0;0;0;0;0;0;0;0;0,347222222;3,638888889;0;0;0;0;0;0,352777778;0,819444444;0;0;0;0;46,225,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAGFORS;0;0;0;0,355555556;0;0;0;0;0;0,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,708333333;0;0;0;0;0;0;0;0;0;0;7,416666667;0;0;0;0;1,366666667;4,047222222;0;0;0;0;0;0;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALMSTAD;0,341666667;0;0;0,405555556;0;0;0;0;0;0;0;0;0;0,341666667;0;0,386111111;0;0;0;0;0;0;0;0;0,352777778;0;0;0;0;0;0;0;0;0;0;68,73888889;116,8722222;0;0;0;0;0;0;0;0;0,755555556;0;0;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMAVAN TÄRNABY;0;0;0,383333333;0;0;0;0;0;0;0;0;0;0,358333333;0;0;0;0;0,733333333;0;0;0;0,35;0,397222222;0;0;0;0;0;0;0;0;0;0;0;0;1,277777778;0;0;0;0;0;0;0;0;0;0;0;23,175;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
