Departure;Departure coordinates;Arrival;Arrival coordinates;tt-dist; SE-dist 
ÄNGELHOLM;POINT (16.6271988 59.60213195);STOCKHOLM/ARLANDA;POINT (17.93861961 59.64980316); 479 ; 480 
ÄNGELHOLM;POINT (16.6271988 59.60213195);STOCKHOLM/BROMMA;POINT (17.94678307 59.35702896); 455 ; 456 
ÄNGELHOLM;POINT (16.6271988 59.60213195);BORLÄNGE;POINT (15.51051712 60.42327499); 485 ; 486 
ÄNGELHOLM;POINT (16.6271988 59.60213195);RONNEBY;POINT (15.27101803 56.26460266); 149 ; 150 
ÄNGELHOLM;POINT (16.6271988 59.60213195);STOCKHOLM/SKAVSTA;POINT (16.92242432 58.78472519); 369 ; 370 
ÄNGELHOLM;POINT (16.6271988 59.60213195);ÖREBRO;POINT (15.05159173 59.24286598); 352 ; 352 
ÄNGELHOLM;POINT (16.6271988 59.60213195);VISBY;POINT (18.34523964 57.66231918); 367 ; 347 
ÄNGELHOLM;POINT (16.6271988 59.60213195);KARLSTAD;POINT (13.50276279 59.38091278); 351 ; 352 
ÄNGELHOLM;POINT (16.6271988 59.60213195);SKELLEFTEÅ;POINT (21.08051109 64.6242218); 1 028 ; 912 
ÄNGELHOLM;POINT (16.6271988 59.60213195);SUNDSVALL TIMRÅ;POINT (17.3071022 62.3907547); 740 ; 742 
ÄNGELHOLM;POINT (16.6271988 59.60213195);LULEÅ;POINT (22.11975479 65.54638672); 1 142 ; 1 122 
ÄNGELHOLM;POINT (16.6271988 59.60213195);ÖRNSKÖLDSVIK;POINT (18.71602058 63.28886032); 862 ; 864 
ÄNGELHOLM;POINT (16.6271988 59.60213195);MALMÖ;POINT (13.3716898 55.53546143); 89 ; 90 
ÄNGELHOLM;POINT (16.6271988 59.60213195);ARVIDSJAUR;POINT (19.27456284 65.59220886); 1 090 ; 1 092 
ÄNGELHOLM;POINT (16.6271988 59.60213195);ÄNGELHOLM;POINT (16.6271988 59.60213195); 30 ; 30 
ÄNGELHOLM;POINT (16.6271988 59.60213195);HALMSTAD;POINT (12.85748291 56.67398071); 45 ; 45 
ÄNGELHOLM;POINT (16.6271988 59.60213195);ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195); 773 ; 774 
ÄNGELHOLM;POINT (16.6271988 59.60213195);KRISTIANSTAD;POINT (14.08672428 55.91998291); 87 ; 87 
ÄNGELHOLM;POINT (16.6271988 59.60213195);GÖTEBORG/LANDVETTER;POINT (12.28727818 57.66451263); 156 ; 156 
ÄNGELHOLM;POINT (16.6271988 59.60213195);STOCKHOLM/VÄSTERÅS;POINT (16.54636765 59.61109924); 429 ; 430 
ÄNGELHOLM;POINT (16.6271988 59.60213195);LINKÖPING;POINT (15.62452507 58.40981293); 290 ; 291 
ÄNGELHOLM;POINT (16.6271988 59.60213195);KRAMFORS-SOLLEFTEÅ;POINT (17.76606178 63.04914474); 802 ; 802 
ÄNGELHOLM;POINT (16.6271988 59.60213195);TORSBY;POINT (13.00678825 60.13552094); 430 ; 430 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);GÖTEBORG/LANDVETTER;POINT (12.28727818 57.66451263); 627 ; 628 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);STOCKHOLM/ARLANDA;POINT (17.93861961 59.64980316); 435 ; 435 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);UMEÅ;POINT (20.28625488 63.79077911); 294 ; 296 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);STOCKHOLM/BROMMA;POINT (17.94678307 59.35702896); 465 ; 465 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195); 30 ; 30 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);JÖNKÖPING;POINT (14.16571903 57.78256226); 604 ; 605 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);MALMÖ;POINT (13.3716898 55.53546143); 853 ; 855 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);KALMAR;POINT (16.28347778 56.68473816); 731 ; 732 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);LULEÅ;POINT (22.11975479 65.54638672); 450 ; 452 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);TROLLHÄTTAN/VÄNERSBORG;POINT (12.34457207 58.31798935); 554 ; 555 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);BORLÄNGE;POINT (15.51051712 60.42327499); 313 ; 313 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);SKELLEFTEÅ;POINT (21.08051109 64.6242218); 359 ; 360 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);STOCKHOLM/VÄSTERÅS;POINT (16.54636765 59.61109924); 416 ; 417 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);SUNDSVALL TIMRÅ;POINT (17.3071022 62.3907547); 166 ; 167 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);KARLSTAD;POINT (13.50276279 59.38091278); 422 ; 422 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);VILHELMINA;POINT (16.65439224 64.6257019); 192 ; 193 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);ÄNGELHOLM;POINT (16.6271988 59.60213195); 773 ; 774 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);VÄXJÖ/KRONOBERG;POINT (14.7322894 56.92434045); 696 ; 698 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);STOCKHOLM/SKAVSTA;POINT (16.92242432 58.78472519); 506 ; 507 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);GÄLLIVARE;POINT (20.81499672 67.13253784); 527 ; 529 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);KIRUNA;POINT (20.33342934 67.8212738); 581 ; 582 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);KRAMFORS-SOLLEFTEÅ;POINT (17.76606178 63.04914474); 165 ; 166 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);HEMAVAN TÄRNABY;POINT (15.08346176 65.80632019); 293 ; 293 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);SVEG;POINT (16.6271988 59.60213195); 127 ; 127 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);LINKÖPING;POINT (15.62452507 58.40981293); 535 ; 536 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);ÖREBRO;POINT (15.05159173 59.24286598); 441 ; 442 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);VISBY;POINT (18.34523964 57.66231918); 649 ; 574 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);ARVIDSJAUR;POINT (19.27456284 65.59220886); 352 ; 353 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);HALMSTAD;POINT (12.85748291 56.67398071); 729 ; 730 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);ÖRNSKÖLDSVIK;POINT (18.71602058 63.28886032); 226 ; 226 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);PAJALA;POINT (23.36472893 67.20903778); 604 ; 604 
ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195);RONNEBY;POINT (15.27101803 56.26460266); 772 ; 773 
ARVIDSJAUR;POINT (19.27456284 65.59220886);LYCKSELE;POINT (18.71338844 64.54975128); 119 ; 119 
ARVIDSJAUR;POINT (19.27456284 65.59220886);STOCKHOLM/ARLANDA;POINT (17.93861961 59.64980316); 665 ; 458 
ARVIDSJAUR;POINT (19.27456284 65.59220886);MALMÖ;POINT (13.3716898 55.53546143); 1 162 ; 1 165 
ARVIDSJAUR;POINT (19.27456284 65.59220886);TROLLHÄTTAN/VÄNERSBORG;POINT (12.34457207 58.31798935); 887 ; 887 
ARVIDSJAUR;POINT (19.27456284 65.59220886);GÖTEBORG/LANDVETTER;POINT (12.28727818 57.66451263); 951 ; 953 
ARVIDSJAUR;POINT (19.27456284 65.59220886);PAJALA;POINT (23.36472893 67.20903778); 251 ; 251 
ARVIDSJAUR;POINT (19.27456284 65.59220886);LULEÅ;POINT (22.11975479 65.54638672); 131 ; 131 
ARVIDSJAUR;POINT (19.27456284 65.59220886);ÖREBRO;POINT (15.05159173 59.24286598); 740 ; 742 
ARVIDSJAUR;POINT (19.27456284 65.59220886);GÄLLIVARE;POINT (20.81499672 67.13253784); 185 ; 185 
ARVIDSJAUR;POINT (19.27456284 65.59220886);KRAMFORS-SOLLEFTEÅ;POINT (17.76606178 63.04914474); 293 ; 293 
ARVIDSJAUR;POINT (19.27456284 65.59220886);ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195); 352 ; 353 
ARVIDSJAUR;POINT (19.27456284 65.59220886);KIRUNA;POINT (20.33342934 67.8212738); 252 ; 253 
ARVIDSJAUR;POINT (19.27456284 65.59220886);HEMAVAN TÄRNABY;POINT (15.08346176 65.80632019); 195 ; 195 
ARVIDSJAUR;POINT (19.27456284 65.59220886);VILHELMINA;POINT (16.65439224 64.6257019); 161 ; 161 
ARVIDSJAUR;POINT (19.27456284 65.59220886);KRISTIANSTAD;POINT (14.08672428 55.91998291); 1 114 ; 1 114 
ARVIDSJAUR;POINT (19.27456284 65.59220886);STOCKHOLM/BROMMA;POINT (17.94678307 59.35702896); 696 ; 485 
ARVIDSJAUR;POINT (19.27456284 65.59220886);STOCKHOLM/VÄSTERÅS;POINT (16.54636765 59.61109924); 681 ; 682 
ARVIDSJAUR;POINT (19.27456284 65.59220886);ÖRNSKÖLDSVIK;POINT (18.71602058 63.28886032); 243 ; 243 
ARVIDSJAUR;POINT (19.27456284 65.59220886);KARLSTAD;POINT (13.50276279 59.38091278); 750 ; 750 
ARVIDSJAUR;POINT (19.27456284 65.59220886);ÄNGELHOLM;POINT (16.6271988 59.60213195); 1 090 ; 1 092 
ARVIDSJAUR;POINT (19.27456284 65.59220886);ARVIDSJAUR;POINT (19.27456284 65.59220886); 30 ; 30 
ARVIDSJAUR;POINT (19.27456284 65.59220886);LINKÖPING;POINT (15.62452507 58.40981293); 822 ; 822 
ARVIDSJAUR;POINT (19.27456284 65.59220886);VISBY;POINT (18.34523964 57.66231918); 885 ; 885 
ARVIDSJAUR;POINT (19.27456284 65.59220886);VÄXJÖ/KRONOBERG;POINT (14.7322894 56.92434045); 995 ; 995 
BORLÄNGE;POINT (15.51051712 60.42327499);GÖTEBORG/LANDVETTER;POINT (12.28727818 57.66451263); 359 ; 360 
BORLÄNGE;POINT (15.51051712 60.42327499);STOCKHOLM/ARLANDA;POINT (17.93861961 59.64980316); 160 ; 161 
BORLÄNGE;POINT (15.51051712 60.42327499);ÖREBRO;POINT (15.05159173 59.24286598); 135 ; 135 
BORLÄNGE;POINT (15.51051712 60.42327499);SUNDSVALL TIMRÅ;POINT (17.3071022 62.3907547); 256 ; 257 
BORLÄNGE;POINT (15.51051712 60.42327499);ÄNGELHOLM;POINT (16.6271988 59.60213195); 485 ; 486 
BORLÄNGE;POINT (15.51051712 60.42327499);BORLÄNGE;POINT (15.51051712 60.42327499); 30 ; 30 
BORLÄNGE;POINT (15.51051712 60.42327499);VÄXJÖ/KRONOBERG;POINT (14.7322894 56.92434045); 391 ; 391 
BORLÄNGE;POINT (15.51051712 60.42327499);HALMSTAD;POINT (12.85748291 56.67398071); 443 ; 444 
BORLÄNGE;POINT (15.51051712 60.42327499);LULEÅ;POINT (22.11975479 65.54638672); 660 ; 662 
BORLÄNGE;POINT (15.51051712 60.42327499);MALMÖ;POINT (13.3716898 55.53546143); 557 ; 558 
BORLÄNGE;POINT (15.51051712 60.42327499);UMEÅ;POINT (20.28625488 63.79077911); 449 ; 447 
BORLÄNGE;POINT (15.51051712 60.42327499);KALMAR;POINT (16.28347778 56.68473816); 418 ; 419 
BORLÄNGE;POINT (15.51051712 60.42327499);KARLSTAD;POINT (13.50276279 59.38091278); 163 ; 163 
BORLÄNGE;POINT (15.51051712 60.42327499);TROLLHÄTTAN/VÄNERSBORG;POINT (12.34457207 58.31798935); 296 ; 296 
BORLÄNGE;POINT (15.51051712 60.42327499);JÖNKÖPING;POINT (14.16571903 57.78256226); 307 ; 308 
BORLÄNGE;POINT (15.51051712 60.42327499);SKELLEFTEÅ;POINT (21.08051109 64.6242218); 547 ; 549 
BORLÄNGE;POINT (15.51051712 60.42327499);ÅRE ÖSTERSUND;POINT (16.6271988 59.60213195); 313 ; 313 
BORLÄNGE;POINT (15.51051712 60.42327499);STOCKHOLM/BROMMA;POINT (17.94678307 59.35702896); 180 ; 180 
