;ÄNGELHOLM;ÅRE ÖSTERSUND;ARVIDSJAUR;BORLÄNGE;GÄLLIVARE;GÖTEBORG/LANDVETTER;HAGFORS;HALMSTAD;HEMAVAN TÄRNABY;JÖNKÖPING;KALMAR;KARLSTAD;KIRUNA;KRAMFORS-SOLLEFTEÅ;KRISTIANSTAD;LINKÖPING;LULEÅ;LYCKSELE;MALMÖ;ÖREBRO;ÖRNSKÖLDSVIK;PAJALA;RONNEBY;SKELLEFTEÅ;STOCKHOLM/ARLANDA;STOCKHOLM/BROMMA;STOCKHOLM/SKAVSTA;STOCKHOLM/VÄSTERÅS;SUNDSVALL TIMRÅ;SVEG;TORSBY;TROLLHÄTTAN/VÄNERSBORG;UMEÅ;VÄXJÖ/KRONOBERG;VILHELMINA;VISBY;Departure coordinate
ÄNGELHOLM;30;773;1090;485;;156;;45;;;;351;;802;87;290;1142;;89;352;862;;149;1028;479;455;369;429;740;;430;;;;;367;POINT (12.8416633 56.290998836)
ÅRE ÖSTERSUND;773;30;352;313;527;627;;729;293;604;731;422;581;165;;535;450;;853;441;226;604;772;359;435;465;506;416;166;127;;554;294;696;192;649;POINT (14.501164662 63.189832574)
ARVIDSJAUR;1090;352;30;;185;951;;;195;;;750;252;293;1114;822;131;119;1162;740;243;251;;;665;696;;681;;;;887;;995;161;885;POINT (19.27456284 65.59220886)
BORLÄNGE;485;313;;30;;359;;443;;307;418;163;;316;509;225;660;;557;135;379;;463;547;160;180;;111;256;190;143;296;449;391;;346;POINT (15.51051712 60.42327499)
GÄLLIVARE;;527;185;;;1134;;;295;;;;79;477;;;185;304;;;422;;;;845;876;948;;536;;;1071;373;;338;;POINT (20.81499672 67.13253784)
GÖTEBORG/LANDVETTER;156;627;955;358;;30;;113;;107;265;207;1199;671;223;217;1019;;246;237;736;;239;905;395;380;299;331;612;;;73;809;168;;361;POINT (12.28727818 57.66451263)
HAGFORS;;;;116;;;30;374;;;;;;;;;;;;;;;;;247;255;233;;;230;35;;;;;;POINT (13.57822037 60.02272034)
HALMSTAD;45;729;1050;443;;134;;30;;141;212;307;1295;;116;256;1102;;132;311;;;158;;446;423;337;392;699;604;;;889;119;;351;POINT (12.85748291 56.67398071)
HEMAVAN TÄRNABY;;293;195;;295;918;;1024;30;;;;;333;;;324;221;;;327;;;309;700;732;;;;;;;333;;159;;POINT (15.08346176 65.80632019)
JÖNKÖPING;179;604;;307;;107;;141;;30;180;192;1162;623;205;119;963;;251;173;683;;182;849;307;287;202;252;563;;;119;751;100;;254;POINT (14.16571903 57.78256226)
KALMAR;216;731;;418;;265;;212;;180;30;352;1259;;160;196;1034;;221;;;;78;920;344;313;237;;654;;;;822;99;;166;POINT (16.28347778 56.68473816)
KARLSTAD;351;422;;163;;207;;307;;192;352;30;;466;394;176;814;;434;100;534;;;702;261;260;;;408;296;;137;606;291;;351;POINT (13.50276279 59.38091278)
KIRUNA;1338;581;252;855;79;1199;;1295;;1162;;992;30;543;1361;1071;265;;1412;1718;494;;1311;357;918;948;1018;933;603;699;;;449;1244;;1133;POINT (20.33342934 67.8212738)
KRAMFORS-SOLLEFTEÅ;;;293;;477;671;;;333;;;;543;;;;348;174;;;73;;;;379;410;;;60;277;;;150;;177;599;POINT (17.76606178 63.04914474)
KRISTIANSTAD;;;;509;;223;;116;;205;160;394;;820;30;293;1154;995;62;372;;;83;;474;446;361;;;;;287;940;119;;324;POINT (14.08672428 55.91998291)
LINKÖPING;;535;822;225;;217;;256;;119;196;176;;;;30;861;;;98;584;;;747;189;167;;;468;;;;647;174;;177;POINT (15.62452507 58.40981293)
LULEÅ;1142;450;131;660;185;1019;;1102;;963;1034;814;265;348;;861;30;;1209;791;281;194;1096;114;691;722;798;719;406;542;;951;214;1035;;898;POINT (22.11975479 65.54638672)
LYCKSELE;;256;119;;304;;;;221;;;;;174;995;;194;30;1044;;127;;;;547;579;;;;;;;113;;90;;POINT (18.71338844 64.54975128)
MALMÖ;89;853;1162;557;;246;;132;;251;221;434;1412;871;62;348;1209;;30;423;930;;143;1095;533;506;420;490;812;;;315;997;176;;386;POINT (13.3716898 55.53546143)
ÖREBRO;352;441;740;135;;237;;311;351;173;293;100;;449;372;98;791;;423;30;510;;331;677;171;165;;;390;;;186;578;256;948;259;POINT (15.05159173 59.24286598)
ÖRNSKÖLDSVIK;862;226;243;379;422;736;;821;327;683;;534;494;73;;584;281;127;930;510;30;469;821;169;423;454;526;;125;;;;77;758;167;639;POINT (18.71602058 63.28886032)
PAJALA;;;;;;1201;;;;;;;133;;;;194;;;;469;30;;;882;913;;;588;;;;406;;;;POINT (23.36472893 67.20903778)
RONNEBY;149;;;463;;239;;;;182;78;;;;83;240;1096;;143;331;821;;30;982;409;379;298;379;708;;;;;81;;244;POINT (15.27101803 56.26460266)
SKELLEFTEÅ;1028;359;137;547;279;905;;;;849;920;702;357;;;747;114;113;1095;677;169;;982;30;577;607;684;605;294;;;;100;921;202;786;POINT (21.08051109 64.6242218)
STOCKHOLM/ARLANDA;479;435;665;160;845;395;247;446;700;307;344;261;918;379;474;189;691;547;533;171;423;882;409;577;30;32;112;74;322;328;282;354;478;356;551;222;POINT (17.93861961 59.64980316)
STOCKHOLM/BROMMA;455;465;696;180;876;407;255;423;732;287;313;260;948;410;446;167;722;;506;165;454;913;379;607;32;30;86;78;354;355;291;343;509;330;;189;POINT (17.94678307 59.35702896)
STOCKHOLM/SKAVSTA;369;506;766;198;;299;;;;202;;217;;477;361;83;798;;420;;;;298;684;112;86;;90;417;;;270;584;244;;151;POINT (16.92242432 58.78472519)
STOCKHOLM/VÄSTERÅS;429;416;;111;;331;;;;252;324;;;;436;142;719;;490;;;909;379;605;74;;90;30;330;298;;284;505;;;236;POINT (16.54636765 59.61109924)
SUNDSVALL TIMRÅ;740;166;;256;536;612;;699;382;563;654;408;603;60;;468;406;;812;390;125;588;708;294;322;354;417;330;30;;354;;201;641;230;543;POINT (17.3071022 62.3907547)
SVEG;;127;;190;;;230;;;478;;296;;204;;412;542;353;;;;710;;;328;355;;;165;;224;431;;;308;;POINT (14.420331652 62.041999832)
TORSBY;;;;143;;;35;;;;;82;;;;;;;;155;;;;;282;291;;214;354;224;30;;;;;414;POINT (13.00678825 60.13552094)
TROLLHÄTTAN/VÄNERSBORG;;554;;296;1071;;;;;119;;;;604;;195;951;;315;;;;;842;354;343;270;;;;;30;;;;361;POINT (12.34457207 58.31798935)
UMEÅ;;294;;449;;809;;889;;751;;;449;;940;647;214;;997;578;77;;;100;478;509;584;505;201;354;;;30;;;688;POINT (20.28625488 63.79077911)
VÄXJÖ/KRONOBERG;135;696;995;391;;168;;119;;100;99;291;;;119;174;1035;;176;256;758;;81;921;356;330;244;316;641;;;210;;30;;232;POINT (14.7322894 56.92434045)
VILHELMINA;;;161;;338;801;;;159;;;;;177;;;;90;1023;604;167;;;;551;583;;;230;;;;188;860;30;773;POINT (16.65439224 64.6257019)
VISBY;367;649;883;346;;361;;351;;254;166;351;1133;599;324;177;898;;386;259;639;;244;786;222;189;151;236;543;534;414;361;688;232;773;30;POINT (18.34523964 57.66231918)
